,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
82,Central,Millet,2009,40229,223.3671883,1132.5,26.40323239
83,Central,Millet,2010,66790,186.7536773,1311.17,26.04371967
84,Eldoret,Millet,2010,231111,220.1156708,1311.17,25.2827223
85,Central,Millet,2010,16667,231.7364957,1311.17,22.08576562
86,Eldoret,Millet,2010,39905,242.3170629,1311.17,23.28617173
87,Central,Millet,2011,59869,182.6549356,1302.63,25.48591986
88,Central,Millet,2011,242211,233.7034975,1302.63,23.67575393
89,Nairobi,Millet,2011,18519,230.2242223,1302.63,20.82477109
90,Central,Millet,2011,42301,290.6793783,1302.63,26.92995077
91,Central,Millet,2012,67290,241.2013513,766.25,23.83509503
92,Central,Millet,2012,250538,218.9163567,766.25,26.52872817
93,Central,Millet,2012,13333,248.2256491,766.25,26.46428311
94,Central,Millet,2012,41096,256.9964761,766.25,22.69657794
95,Nakuru,Millet,2013,69533,194.2651719,982.32,22.68319059
96,Nakuru,Millet,2013,260110,295.9248796,982.32,21.53346343
97,Central,Millet,2013,10000,287.5766935,982.32,21.40865769
98,Central,Millet,2013,41292,183.6222657,982.32,26.54348085
99,Central,Millet,2018,16500,188.413665,1828.92,23.35905428
100,Nakuru,Maize,2018,78936,78.67221693,1828.92,31.48468379
101,Nakuru,Maize,2018,28000,108.6591857,1828.92,23.22281906
102,Central,Maize,2018,16571,96.15004854,1828.92,22.72115394
103,Central,Maize,2018,6315,83.12920841,1828.92,29.1445857
104,Central,Maize,2015,19231,102.5746649,2461.8,22.45072926
105,Central,Maize,2015,90747,100.9176088,2461.8,33.86234244
106,Kisumu,Maize,2015,26786,101.2399862,2461.8,26.64588548
107,Nairobi,Maize,2015,4231,146.9927661,2461.8,29.36844736
108,Eldoret,Maize,2015,10809,82.66761245,2461.8,32.88585306
109,Central,Maize,2016,22828,114.523192,1215.47,26.16451456
110,Eldoret,Maize,2016,107917,137.3148173,1215.47,32.7874383
111,Kisumu,Maize,2016,24733,158.335716,1215.47,30.85433994
112,Eldoret,Maize,2016,40000,135.892958,1215.47,32.81296537
113,Kisumu,Maize,2016,9939,127.94704,1215.47,21.63742097
114,Eldoret,Maize,2017,12500,120.3062225,1021.89,21.56081364
115,Kisumu,Maize,2017,111215,157.6254107,1021.89,24.91898014
116,Eldoret,Maize,2017,23111,119.4179161,1021.89,23.3675234
117,Nairobi,Maize,2017,50000,129.0833029,1021.89,32.61168513
118,Nakuru,Maize,2017,8097,157.8209829,1021.89,32.98761855
119,Nairobi,Maize,2020,4512,84.09900369,1255.02,21.1671627
120,Nairobi,Maize,2020,95078,107.7013803,1255.02,32.29245075
121,Eldoret,Maize,2020,21374,139.4082228,1255.02,31.85745209
122,Central,Maize,2020,7999,88.64082953,1255.02,20.46228174
123,Nakuru,Maize,2021,16115,159.637369,2697.09,30.20210041
124,Nakuru,Maize,2021,136768,138.8577307,2697.09,32.83804521
125,Nakuru,Maize,2021,19598,136.3002864,2697.09,28.64841334
126,Nairobi,Maize,2021,12667,158.9074287,2697.09,33.20749638
127,Eldoret,Maize,2021,8924,104.7971044,2697.09,30.8789865
128,Eldoret,Maize,2022,17154,144.790146,479.77,23.26796952
129,Central,Maize,2022,134629,102.9943581,479.77,26.92593036
130,Nairobi,Maize,2022,17861,133.3803746,479.77,33.95209584
131,Nairobi,Maize,2022,14750,125.2942205,479.77,20.09136946
132,Central,Maize,2022,13090,152.0998446,479.77,26.08577313
133,Nairobi,Maize,2019,21417,84.30277408,401.22,22.09104373
134,Eldoret,Maize,2019,141042,159.7094503,401.22,33.95105177
135,Central,Maize,2019,15000,79.13672088,401.22,28.53146346
136,Eldoret,Maize,2019,40000,115.4433552,401.22,28.00510977
137,Eldoret,Maize,2019,8016,144.133609,401.22,27.04402781
138,Central,Maize,2023,17222,102.0858776,322.84,33.13479807
139,Central,Maize,2023,160256,135.2358305,322.84,31.61960395
140,Nakuru,Maize,2023,15000,114.8541306,322.84,27.50568957
141,Eldoret,Maize,2023,24500,109.1351681,322.84,24.33278733
142,Central,Maize,2023,8847,121.4840528,322.84,28.72164631
143,Nakuru,Maize,2014,22375,96.52795631,654.45,25.28101255
144,Central,Maize,2014,153532,153.4808896,654.45,30.83055881
145,Nakuru,Maize,2014,13942,161.7501599,654.45,24.78475421
146,Eldoret,Maize,2014,27000,76.73202842,654.45,21.2500493
147,Nakuru,Maize,2014,10711,82.51483333,654.45,22.71147615
148,Eldoret,Maize,2000,36186,154.1027485,603.67,28.98830116
149,Central,Maize,2000,166143,77.69415355,603.67,26.66935651
150,Eldoret,Maize,2000,13052,85.87718731,603.67,26.44910438
151,Central,Maize,2000,69500,100.0629969,603.67,25.15272442
152,Nairobi,Maize,2000,9194,105.7586828,603.67,22.15367553
153,Eldoret,Maize,2001,27175,103.4171832,710.11,22.16269576
154,Kisumu,Maize,2001,147018,124.9172678,710.11,25.99183159
155,Nairobi,Maize,2001,12314,85.77839497,710.11,27.65509604
156,Eldoret,Maize,2001,27750,146.3208345,710.11,28.59943017
157,Nakuru,Maize,2001,11104,138.213473,710.11,21.80851548
158,Central,Maize,2002,33480,98.73003058,816.55,24.586226
159,Nairobi,Maize,2002,183774,116.1287685,816.55,28.75736442
160,Kisumu,Maize,2002,12959,89.72013147,816.55,25.53649642
161,Nakuru,Maize,2002,33900,89.11392893,816.55,28.86914133
162,Central,Maize,2002,10739,135.6644149,816.55,23.20653917
163,Central,Maize,2004,31729,128.2064115,3747.86,30.03447137
164,Central,Maize,2004,203585,140.4013334,3747.86,22.69094467
165,Nairobi,Maize,2004,12829,139.1544624,3747.86,21.8236595
166,Kisumu,Maize,2004,43316,123.9601092,3747.86,21.73121202
167,Eldoret,Maize,2004,13582,82.10434989,3747.86,31.76167796
168,Central,Maize,2005,33864,144.8018325,3662.87,31.32720734
169,Kisumu,Maize,2005,216267,106.0760607,3662.87,32.25321056
170,Kisumu,Maize,2005,12998,100.659201,3662.87,20.40661421
171,Nakuru,Maize,2005,33486,153.1256813,3662.87,28.9138963
172,Nakuru,Maize,2005,15057,86.54737814,3662.87,21.3272581
173,Nairobi,Maize,2006,65668,131.959498,4110.72,23.41584543
174,Nairobi,Maize,2006,220689,91.72867099,4110.72,33.8708865
175,Nakuru,Maize,2006,12769,137.3473567,4110.72,23.92271434
176,Nakuru,Maize,2006,56728,141.3680666,4110.72,23.57774533
177,Eldoret,Maize,2006,15068,146.6616428,4110.72,23.9388272
178,Kisumu,Maize,2007,85625,94.83486133,5390.79,22.71215545
179,Eldoret,Maize,2007,189927,100.3168624,5390.79,27.62626513
180,Nakuru,Maize,2007,13375,162.9129631,5390.79,30.88267511
181,Central,Maize,2007,119059,141.8402571,5390.79,21.61239794
182,Central,Maize,2007,12742,118.5550251,5390.79,33.70567542
183,Central,Maize,2008,44714,159.9218668,11556.12,29.89576763
184,Central,Maize,2008,236393,138.0059458,11556.12,28.39103747
185,Central,Maize,2008,13952,97.92564513,11556.12,28.69331555
186,Nakuru,Maize,2008,61786,95.83816153,11556.12,24.26818049
187,Kisumu,Maize,2008,11038,92.06522861,11556.12,25.41082075
188,Nairobi,Maize,2009,30914,79.23405577,3867.99,29.83448534
189,Central,Maize,2009,250764,128.8619472,3867.99,21.43816465
190,Eldoret,Maize,2009,14594,90.20001424,3867.99,30.34034318
191,Eldoret,Maize,2009,90465,162.8889752,3867.99,22.40555923
192,Central,Maize,2009,15975,145.3105423,3867.99,22.66469526
193,Central,Maize,2010,25827,111.3764672,1295.88,27.74080015
194,Nakuru,Maize,2010,270526,86.40096727,1295.88,30.85454844
195,Central,Maize,2010,15305,103.0601137,1295.88,27.94020348
196,Nakuru,Maize,2010,30286,156.9663176,1295.88,25.58747374
197,Eldoret,Maize,2010,14838,103.8796274,1295.88,21.96790926
198,Kisumu,Maize,2011,23374,140.9134931,13861.76,28.13171727
199,Kisumu,Maize,2011,292806,128.889532,13861.76,32.83179905
200,Eldoret,Ground nuts,2011,16081,54.73367631,13861.76,27.43329405
201,Eldoret,Ground nuts,2011,100000,38.7976407,13861.76,28.3340432
202,Central,Ground nuts,2011,17405,55.296354,13861.76,27.01470397
203,Central,Ground nuts,2012,25583,36.35720652,17379.76,28.17432665
204,Eldoret,Ground nuts,2012,304291,44.75215854,17379.76,29.87888063
205,Central,Ground nuts,2012,16667,42.99498978,17379.76,29.89232778
206,Eldoret,Ground nuts,2012,206000,56.48265193,17379.76,28.56212158
207,Nairobi,Ground nuts,2012,17639,53.01899249,17379.76,27.53592929
208,Central,Ground nuts,2013,33649,41.82490236,17278.65,29.68361658
209,Eldoret,Ground nuts,2013,303218,46.75690086,17278.65,28.14448546
210,Central,Ground nuts,2013,17778,59.87232071,17278.65,29.53037621
211,Central,Ground nuts,2013,60000,44.64407105,17278.65,27.88352946
212,Central,Ground nuts,2013,19100,44.01206619,17278.65,28.22471276
213,Central,Ground nuts,2018,41177,45.91011391,64,29.008124
214,Central,Ground nuts,2018,2736,37.54602719,64,29.75538903
215,Central,Ground nuts,2018,40000,40.77872823,64,29.78416743
216,Central,Ground nuts,2018,9512,42.83053902,64,27.8640132
217,Nairobi,Ground nuts,2018,89342,51.52617423,64,27.11026483
218,Nakuru,Ground nuts,2018,7995,49.11964582,64,27.11030369
219,Eldoret,Ground nuts,2015,40295,57.65901369,79,28.95451232
220,Eldoret,Ground nuts,2015,4013,43.1386631,79,29.21780035
221,Kisumu,Ground nuts,2015,40000,48.54598575,79,28.7420098
222,Kisumu,Ground nuts,2015,10000,56.76278363,79,29.65021184
223,Eldoret,Ground nuts,2015,83001,37.31236904,79,27.23924995
224,Central,Ground nuts,2015,8000,56.51103293,79,28.95172351
225,Nakuru,Ground nuts,2016,42295,37.01110438,23,28.18837136
226,Eldoret,Ground nuts,2016,3778,50.47333854,23,28.30041493
227,Nakuru,Ground nuts,2016,40000,57.79863368,23,27.89636126
228,Nakuru,Ground nuts,2016,9106,44.56598352,23,28.6899851
229,Central,Ground nuts,2016,90000,56.68833819,23,27.8262623
230,Kisumu,Ground nuts,2016,8000,59.87065439,23,28.70562673
231,Nairobi,Ground nuts,2017,42295,48.48319335,169,28.6362812
232,Central,Ground nuts,2017,2627,48.56690235,169,28.28511547
233,Nakuru,Ground nuts,2017,70000,43.80041104,169,27.60887393
234,Eldoret,Ground nuts,2017,8000,36.94616965,169,28.60901145
235,Central,Ground nuts,2017,88095,53.43228915,169,29.24598976
236,Eldoret,Ground nuts,2017,8876,50.49913241,169,28.62911222
237,Eldoret,Ground nuts,2020,58596,45.04467075,25.5,29.57329479
238,Eldoret,Ground nuts,2020,2463,58.37249772,25.5,27.82684262
239,Central,Ground nuts,2020,90000,40.12044158,25.5,29.8757015
240,Kisumu,Ground nuts,2020,8750,51.09802625,25.5,27.33684386
241,Kisumu,Ground nuts,2020,83192,58.86687093,25.5,29.83040388
242,Nakuru,Ground nuts,2020,10000,56.04995423,25.5,28.2753171
243,Eldoret,Ground nuts,2021,51000,58.41394143,336,29.86860065
244,Eldoret,Ground nuts,2021,3517,54.96121262,336,29.5888162
245,Nakuru,Ground nuts,2021,76738,49.61865305,336,28.07219563
246,Central,Ground nuts,2021,14615,52.84626009,336,27.84026517
247,Kisumu,Ground nuts,2021,81138,55.03723979,336,27.10818093
248,Nakuru,Ground nuts,2021,11855,54.62243308,336,27.68515114
249,Nakuru,Ground nuts,2022,48077,59.03629954,40,29.34594634
250,Nakuru,Ground nuts,2022,6993,52.93031105,40,28.36319404
251,Nairobi,Ground nuts,2022,70000,56.52558045,40,27.65280218
252,Central,Ground nuts,2022,17500,53.15223123,40,27.31372793
253,Eldoret,Ground nuts,2022,85455,50.46746116,40,27.06909959
254,Central,Ground nuts,2022,13738,39.23831035,40,28.06642822
255,Central,Ground nuts,2019,44205,44.17580911,40,27.73329078
256,Central,Ground nuts,2019,5959,45.48591922,40,27.53632932
257,Kisumu,Ground nuts,2019,68571,56.09542002,40,29.66461594
258,Eldoret,Ground nuts,2019,20000,41.39081525,40,29.9145443
259,Central,Ground nuts,2019,78098,57.99524359,40,28.36363858
260,Central,Ground nuts,2019,15509,43.15411472,40,29.46416042
261,Central,Ground nuts,2023,55728,50.91511275,40,29.73013036
262,Kisumu,Ground nuts,2023,7396,43.78420984,40,27.46852989
263,Eldoret,Ground nuts,2023,62724,49.50812624,40,27.77076285
264,Nairobi,Ground nuts,2023,20000,36.45012824,40,29.12939524
265,Nairobi,Ground nuts,2023,76256,37.45680611,40,27.10606808
266,Nakuru,Ground nuts,2023,17143,53.79732545,40,28.88078945
267,Eldoret,Ground nuts,2014,59821,37.44800463,40,28.14720892
268,Nairobi,Ground nuts,2014,6361,54.7960127,40,29.89129144
269,Eldoret,Ground nuts,2014,54597,40.53173216,40,27.41503453
270,Central,Ground nuts,2014,14235,50.9246554,40,29.27308605
271,Nakuru,Ground nuts,2014,82865,56.01913159,40,29.65296893
272,Central,Ground nuts,2014,17391,58.18713162,40,28.44524991
273,Central,Ground nuts,2000,82992,48.9366954,40,27.96235681
274,Kisumu,Ground nuts,2000,5745,42.02483277,40,29.25649321
275,Eldoret,Ground nuts,2000,29885,43.05130077,40,28.36291385
276,Nairobi,Ground nuts,2000,13454,39.26137642,40,27.62749466
277,Kisumu,Ground nuts,2000,3333,50.01534317,40,28.66086349
278,Kisumu,Ground nuts,2000,2333,51.53848218,40,29.2114218
279,Eldoret,Ground nuts,2000,34938,53.35486977,40,29.40889385
280,Nakuru,Ground nuts,2000,17023,36.12042927,40,28.02952623
281,Kisumu,Ground nuts,2001,94072,38.14476781,40,28.08657178
282,Nakuru,Ground nuts,2001,5754,40.16545979,40,29.16174608
283,Central,Ground nuts,2001,42552,50.66487502,40,29.8596912
284,Central,Ground nuts,2001,13701,43.95183726,40,29.06631494
285,Nakuru,Ground nuts,2001,3571,58.29933073,40,27.38538997
286,Nakuru,Ground nuts,2001,2500,43.25095608,40,27.93034941
287,Central,Ground nuts,2001,44458,44.47427436,40,29.2808618
288,Eldoret,Ground nuts,2001,16667,59.84499208,40,28.9973145
289,Nakuru,Ground nuts,2002,110071,43.4826194,40,27.92678579
290,Eldoret,Ground nuts,2002,6706,49.4897245,40,28.5474135
291,Nakuru,Ground nuts,2002,42754,48.30159325,40,29.36488409
292,Nakuru,Ground nuts,2002,13198,41.013132,40,28.56149805
293,Nakuru,Ground nuts,2002,3400,43.12063289,40,28.43683487
294,Nakuru,Ground nuts,2002,2857,44.30070517,40,28.79728147
295,Central,Ground nuts,2002,42190,58.52974279,40,28.7275267
296,Eldoret,Ground nuts,2002,15455,43.25726752,40,27.95639663
297,Nakuru,Ground nuts,2004,125605,37.2464655,40,28.17458662
298,Central,Ground nuts,2004,5404,56.12443206,40,28.77653519
299,Kisumu,Ground nuts,2004,20150,52.55469976,40,28.438097
300,Eldoret,Cotton,2004,11584,186.5498269,40,28.97274022
301,Eldoret,Cotton,2004,3333,201.1799222,40,21.61299778
302,Nakuru,Cotton,2004,3600,151.3875598,40,26.71554771
303,Kisumu,Cotton,2004,45360,192.9191932,40,27.36559349
304,Kisumu,Cotton,2004,12442,230.6059422,40,21.00527346
305,Nakuru,Cotton,2005,117628,239.3774182,40,28.87307446
306,Eldoret,Cotton,2005,6736,238.5986386,40,25.25360803
307,Eldoret,Cotton,2005,23646,229.8478065,40,23.29235578
308,Nairobi,Cotton,2005,6977,168.5259941,40,27.16935877
309,Nairobi,Cotton,2005,3333,155.4178681,40,22.06389813
310,Eldoret,Cotton,2005,3793,211.4984132,40,27.64363393
311,Central,Cotton,2005,46159,164.8080603,40,21.77257982
312,Central,Cotton,2005,10946,242.7375694,40,21.14788645
313,Nakuru,Cotton,2006,117201,207.9346869,40,23.42065805
314,Central,Cotton,2006,4687,248.0127192,40,23.49211409
315,Central,Cotton,2006,52148,249.4180906,40,21.9348235
316,Eldoret,Cotton,2006,4947,205.6436271,40,24.0028517
317,Eldoret,Cotton,2006,4091,243.5264931,40,23.03270612
318,Nairobi,Cotton,2006,4286,190.8030418,40,23.34008469
319,Central,Cotton,2006,44240,248.6454371,40,25.69642083
320,Central,Cotton,2006,10000,245.8787983,40,22.50457269
321,Central,Cotton,2007,115387,165.9686138,40,26.14390845
322,Kisumu,Cotton,2007,5091,220.2481622,40,25.80495055
323,Kisumu,Cotton,2007,62138,195.2644515,40,26.66413203
324,Eldoret,Cotton,2007,5143,235.3354816,40,26.1454261
325,Central,Cotton,2007,4031,235.9374819,40,24.16451828
326,Nairobi,Cotton,2007,6883,241.5411477,40,21.65594823
327,Nakuru,Cotton,2007,58855,151.5420229,40,22.35753322
328,Central,Cotton,2007,10000,247.9849425,40,21.96202221
329,Central,Cotton,2008,148084,243.6025436,40,21.10407321
330,Central,Cotton,2008,7946,218.3234174,40,27.44758956
331,Central,Cotton,2008,85085,156.5020211,40,21.68623299
332,Nakuru,Cotton,2008,5084,210.8450939,40,23.37388862
333,Central,Cotton,2008,929,155.5288113,40,21.97467801
334,Nakuru,Cotton,2008,8575,156.1374967,40,22.96228267
335,Nakuru,Cotton,2008,65437,187.2409307,40,23.26790447
336,Nakuru,Cotton,2008,10000,244.6364888,40,22.24106122
337,Central,Cotton,2009,151759,209.8447099,40,22.63639552
338,Eldoret,Cotton,2009,6614,193.10972,40,22.43163359
339,Nakuru,Cotton,2009,86509,173.9597671,40,25.08481552
340,Central,Cotton,2009,6028,183.5504823,40,26.28259087
341,Eldoret,Cotton,2009,2480,177.6582205,40,22.11748525
342,Eldoret,Cotton,2009,4449,239.435644,40,24.57238439
343,Nakuru,Cotton,2009,66475,168.8599817,40,25.08757528
344,Kisumu,Cotton,2009,10000,164.9584071,40,21.72328562
345,Eldoret,Cotton,2010,155782,207.0690528,40,23.34518123
346,Nairobi,Cotton,2010,7200,181.3792303,40,25.7651492
347,Nairobi,Cotton,2010,87425,229.527211,40,27.57410935
348,Eldoret,Cotton,2010,7403,186.2506936,40,26.74935754
349,Nakuru,Cotton,2010,2814,213.4530574,40,23.56110792
350,Eldoret,Cotton,2010,4446,188.1757882,40,26.09137527
351,Eldoret,Cotton,2010,63001,216.1093103,40,21.31615361
352,Kisumu,Cotton,2010,10526,181.1012809,40,26.62272203
353,Central,Cotton,2011,133649,228.1585451,40,26.38807394
354,Nakuru,Cotton,2011,7376,246.4004033,40,25.32490809
355,Central,Cotton,2011,81366,221.6872243,40,21.54495141
356,Nakuru,Cotton,2011,8914,185.2815085,40,22.1183518
357,Central,Cotton,2011,3320,227.9964223,40,26.16211094
358,Nakuru,Cotton,2011,5294,246.7881984,40,24.92053971
359,Nakuru,Cotton,2011,65512,239.653142,40,25.95045898
360,Central,Cotton,2011,10959,196.3929842,40,24.63301639
361,Nairobi,Cotton,2012,100073,241.371506,40,24.82876708
362,Central,Cotton,2012,7770,228.3346634,40,28.63272314
363,Central,Cotton,2012,69381,236.1903173,40,27.88531124
364,Central,Cotton,2012,7703,232.0792469,40,22.95649075
365,Nairobi,Cotton,2012,998,154.4017889,40,23.43413634
366,Eldoret,Cotton,2012,1641,170.8665609,40,25.81561019
367,Kisumu,Cotton,2012,52954,170.1582771,40,22.82587592
368,Nakuru,Cotton,2012,11258,224.6921507,40,27.43109952
369,Central,Cotton,2013,140517,191.8480038,40,25.49583067
370,Central,Cotton,2013,9467,200.4758668,40,25.23330096
371,Eldoret,Cotton,2013,63303,155.8722042,40,25.37964719
372,Eldoret,Cotton,2013,12744,244.9762415,40,24.49615147
373,Kisumu,Cotton,2013,2415,151.012989,40,22.21957062
374,Nakuru,Cotton,2013,4405,176.4064162,40,24.35912895
375,Kisumu,Cotton,2013,73409,244.4469947,40,22.97874764
376,Eldoret,Cotton,2013,9022,179.0622137,40,28.68448867
377,Central,Cotton,2018,100000,190.0583321,26156,25.48662848
378,Nakuru,Cotton,2018,100000,187.2205321,26156,24.58711374
379,Central,Cotton,2018,34608,153.202034,26156,27.16597098
380,Nakuru,Cotton,2018,34608,174.9286235,26156,23.14542227
381,Eldoret,Cotton,2018,202747,242.5840596,26156,23.0978878
382,Kisumu,Cotton,2018,202747,210.8341183,26156,25.00948256
383,Central,Cotton,2018,36709,222.6514978,26156,21.05138829
384,Kisumu,Cotton,2018,36709,223.1767951,26156,21.60764431
385,Kisumu,Cotton,2018,28116,202.281286,26156,24.32719167
386,Eldoret,Cotton,2018,28116,191.6467782,26156,23.17241347
387,Eldoret,Cotton,2018,21566,248.3276786,26156,25.52732531
388,Nairobi,Cotton,2018,21566,185.8214899,26156,27.20376501
389,Eldoret,Cotton,2018,131864,222.5623406,26156,27.18322079
390,Nakuru,Cotton,2018,131864,202.7590728,26156,22.33596032
391,Eldoret,Cotton,2018,18947,247.1716684,26156,25.56004209
392,Kisumu,Cotton,2018,18947,205.6346664,26156,24.05775804
393,Central,Cotton,2015,100000,179.5213033,26156,27.59571441
394,Central,Cotton,2015,100000,198.6421842,26156,21.27072766
395,Kisumu,Cotton,2015,40444,199.2348307,26156,26.28182526
396,Central,Cotton,2015,40444,155.1002465,26156,22.98078406
397,Central,Cotton,2015,205692,188.0693552,26156,26.20075207
398,Kisumu,Cotton,2015,205692,179.4804049,26156,26.10860148
399,Central,Cotton,2015,40294,179.1352379,26156,24.37323193
400,Nakuru,Kidney beans,2015,40294,45.7523396,26156,45.38352611
401,Central,Kidney beans,2015,33320,38.19865734,26156,45.12259476
402,Eldoret,Kidney beans,2015,33320,48.42160918,26156,41.83652013
403,Central,Kidney beans,2015,22750,35.19431212,26156,45.24994923
404,Nairobi,Kidney beans,2015,22750,44.21309767,26156,40.31763988
405,Central,Kidney beans,2015,131364,37.96716357,26156,45.99873995
406,Central,Kidney beans,2015,131364,36.61361235,26156,43.43755917
407,Nairobi,Kidney beans,2015,18972,48.49348171,26156,49.51043695
408,Nairobi,Kidney beans,2015,18972,39.10973483,26156,43.30667836
409,Central,Kidney beans,2016,100000,41.83810956,26156,45.19657149
410,Central,Kidney beans,2016,100000,38.99785201,26156,41.1918356
411,Eldoret,Kidney beans,2016,45237,42.97811956,26156,43.34991463
412,Eldoret,Kidney beans,2016,45237,39.40150564,26156,49.87673602
413,Central,Kidney beans,2016,201839,42.85228483,26156,40.44240021
414,Central,Kidney beans,2016,201839,48.81272971,26156,43.06789439
415,Nairobi,Kidney beans,2016,52075,49.57322707,26156,48.50763857
416,Kisumu,Kidney beans,2016,52075,48.81060057,26156,44.15239311
417,Central,Kidney beans,2016,36217,48.53707635,26156,43.4095322
